ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,23.77333,11.110259717354731,30.6098593367639,23.77333,23.77333,-3.28587879395652,-3.28587879395652,-3.28587879395652,-0.025106459996142923,-0.025106459996142923,-0.025106459996142923,-3.2607723339603774,-3.2607723339603774,-3.2607723339603774,0.0,0.0,0.0,20.48745120604348
2015-01-02,23.77718958484018,13.10112200356803,31.669989005127377,23.77718958484018,23.77718958484018,-2.2457713846370764,-2.2457713846370764,-2.2457713846370764,0.9373383275262993,0.9373383275262993,0.9373383275262993,-3.183109712163376,-3.183109712163376,-3.183109712163376,0.0,0.0,0.0,21.531418200203102
2015-01-03,23.781049169680365,13.05689846218403,32.612027194722664,23.781049169680365,23.781049169680365,-0.9423582283433646,-0.9423582283433646,-0.9423582283433646,2.1948223575497425,2.1948223575497425,2.1948223575497425,-3.137180585893107,-3.137180585893107,-3.137180585893107,0.0,0.0,0.0,22.838690941337
2015-01-04,23.784908754520547,13.62902752129377,33.68777449845601,23.784908754520547,23.784908754520547,-0.9240384661069884,-0.9240384661069884,-0.9240384661069884,2.199338250221658,2.199338250221658,2.199338250221658,-3.123376716328646,-3.123376716328646,-3.123376716328646,0.0,0.0,0.0,22.860870288413558
2015-01-05,23.78876833936073,8.550021085060425,27.54931342327338,23.78876833936073,23.78876833936073,-6.298564673732634,-6.298564673732634,-6.298564673732634,-3.1573109987188683,-3.1573109987188683,-3.1573109987188683,-3.1412536750137665,-3.1412536750137665,-3.1412536750137665,0.0,0.0,0.0,17.490203665628094
2015-01-06,23.792627924200914,10.339941547797986,29.45769975815266,23.792627924200914,23.792627924200914,-4.099114545110152,-4.099114545110152,-4.099114545110152,-0.9095432026044813,-0.9095432026044813,-0.9095432026044813,-3.189571342505671,-3.189571342505671,-3.189571342505671,0.0,0.0,0.0,19.693513379090763
2015-01-07,23.796487509041096,9.643990874304812,29.558596337596,23.796487509041096,23.796487509041096,-4.505891405055544,-4.505891405055544,-4.505891405055544,-1.2395382739883445,-1.2395382739883445,-1.2395382739883445,-3.2663531310672,-3.2663531310672,-3.2663531310672,0.0,0.0,0.0,19.290596103985553
2015-01-08,23.80034709388128,11.259924521110836,30.048175806970157,23.80034709388128,23.80034709388128,-3.394068351488661,-3.394068351488661,-3.394068351488661,-0.025106459997869757,-0.025106459997869757,-0.025106459997869757,-3.3689618914907915,-3.3689618914907915,-3.3689618914907915,0.0,0.0,0.0,20.406278742392615
2015-01-09,23.80420667872146,11.11155087472029,31.017673827215123,23.80420667872146,23.80420667872146,-2.5568517474791403,-2.5568517474791403,-2.5568517474791403,0.9373383275217039,0.9373383275217039,0.9373383275217039,-3.494190075000844,-3.494190075000844,-3.494190075000844,0.0,0.0,0.0,21.24735493124232
2015-01-10,23.808066263561642,12.500920716894749,31.651931832583568,23.808066263561642,23.808066263561642,-1.443539047584642,-1.443539047584642,-1.443539047584642,2.194822357555587,2.194822357555587,2.194822357555587,-3.638361405140229,-3.638361405140229,-3.638361405140229,0.0,0.0,0.0,22.364527215977
